name,department,rmp_id,rmp_rating,rmp_difficulty,rmp_would_take_again,rmp_department,notes
Janick Robidoux,,,,,,,Needs manual RMP lookup
Janyck Beaulieu,,,,,,,Needs manual RMP lookup
Jashong King,,,,,,,Needs manual RMP lookup
Jasna Drnda,,,,,,,Needs manual RMP lookup
Javiera Araya-Moreno,,,,,,,Needs manual RMP lookup
Jean Alain Goudiaby,,,,,,,Needs manual RMP lookup
Jean C. Grenier,,,,,,,Needs manual RMP lookup
Jean Gardy Dumoulin,,,,,,,Needs manual RMP lookup
Jean-Claude Béïque,,,,,,,Needs manual RMP lookup
Jean-Claude Roc,,,,,,,Needs manual RMP lookup
Jean-François Mauger,,,,,,,Needs manual RMP lookup
Jean-François Nadeau,,,,,,,Needs manual RMP lookup
Jean-François Rousseau,,,,,,,Needs manual RMP lookup
Jean-Lou De Carufel,,,,,,,Needs manual RMP lookup
Jean-Michel Ménard,,,,,,,Needs manual RMP lookup
Jeanette Gallina,,,,,,,Needs manual RMP lookup
Jeannine M.A. Quenneville,,,,,,,Needs manual RMP lookup
Jennifer Anne E. Quaid,,,,,,,Needs manual RMP lookup
Jennifer Lynne Macquarrie,,,,,,,Needs manual RMP lookup
Jessica Dufresne,,,,,,,Needs manual RMP lookup
Jingen Su,,,,,,,Needs manual RMP lookup
Jo Anne Margaret Mccutcheon,,,,,,,Needs manual RMP lookup
Joan Ofulue,,,,,,,Needs manual RMP lookup
Joanne Rumig,,,,,,,Needs manual RMP lookup
Jodi Edwards,,,,,,,Needs manual RMP lookup
John Fraser Bruce,,,,,,,Needs manual RMP lookup
John J. Donohue,,,,,,,Needs manual RMP lookup
John Joseph Leddy,,,,,,,Needs manual RMP lookup
Jolene Hansell,,,,,,,Needs manual RMP lookup
Jonathan Carlson,,,,,,,Needs manual RMP lookup
Jonathan Frauley,,,,,,,Needs manual RMP lookup
Jonathan O'Neil,,,,,,,Needs manual RMP lookup
Jonathan Parenteau,,,,,,,Needs manual RMP lookup
Jose Dibella,,,,,,,Needs manual RMP lookup
Joseph Lukas Beddows,,,,,,,Needs manual RMP lookup
Josée Coutu,,,,,,,Needs manual RMP lookup
Josée Desmarais,,,,,,,Needs manual RMP lookup
Josée-Michèle Richer,,,,,,,Needs manual RMP lookup
Julian Bertino,,,,,,,Needs manual RMP lookup
Julian Little,,,,,,,Needs manual RMP lookup
Julie Marie Loui Morissette,,,,,,,Needs manual RMP lookup
Julie Mes,,,,,,,Needs manual RMP lookup
Julie Pedneault D,,,,,,,Needs manual RMP lookup
Julien Bazile,,,,,,,Needs manual RMP lookup
Julien Leclair-Dionne,,,,,,,Needs manual RMP lookup
Julien Thibault Lévesque,,,,,,,Needs manual RMP lookup
Junru Bian,,,,,,,Needs manual RMP lookup
Jérémie Richard,,,,,,,Needs manual RMP lookup
Jérôme Havre,,,,,,,Needs manual RMP lookup
Karen Borland,,,,,,,Needs manual RMP lookup
